,name,year,rating,runtime
1,The Adam Project,-2022,6.8,106 min
2,Turning Red,-2022,7.1,100 min
3,Spider-Man: No Way Home,-2021,8.6,148 min
4,The King's Man,-2021,6.3,131 min
5,Uncharted,-2022,6.7,116 min
6,Free Guy,-2021,7.2,115 min
7,Dune,-2021,8.1,155 min
8,Sing 2,-2021,7.5,110 min
9,Eternals,-2021,6.4,156 min
10,Ghostbusters: Afterlife,-2021,7.2,124 min
11,Batman,-1989,7.5,126 min
12,No Time to Die,-2021,7.3,163 min
13,The Suicide Squad,-2021,7.2,132 min
14,Batman Forever,-1995,5.4,121 min
15,Avengers: Endgame,-2019,8.4,181 min
16,Kingsman: The Secret Service,-2014,7.7,129 min
17,Zack Snyder's Justice League,-2021,8.1,242 min
18,Interstellar,-2014,8.7,169 min
19,The Green Knight,-2021,6.6,130 min
20,Shang-Chi and the Legend of the Ten Rings,-2021,7.5,132 min
21,Inception,-2010,8.8,148 min
22,Venom: Let There Be Carnage,-2021,6,97 min
23,Harry Potter and the Sorcerer's Stone,-2001,7.6,152 min
24,Batman v Superman: Dawn of Justice,-2016,6.5,152 min
25,The Lord of the Rings: The Fellowship of the Ring,-2001,8.9,178 min
26,Mad Max: Fury Road,-2015,8.1,120 min
27,Spider-Man: Homecoming,-2017,7.4,133 min
28,Inglourious Basterds,-2009,8.3,153 min
29,Spider-Man,-2002,7.4,121 min
30,Avengers: Infinity War,-2018,8.5,149 min
31,Kingsman: The Golden Circle,-2017,6.7,141 min
32,Black Widow,-2021,6.7,134 min
33,Dune,-1984,6.3,137 min
34,Spider-Man: Into the Spider-Verse,-2018,8.4,117 min
35,Deadpool,-2016,8,108 min
36,Starship Troopers,-1997,7.3,129 min
37,The Hobbit: An Unexpected Journey,-2012,7.8,169 min
38,The Hunger Games,-2012,7.2,142 min
39,Jurassic Park,-1993,8.2,127 min
40,Battleship,-2012,5.8,131 min
41,Deadpool 2,-2018,7.7,119 min
42,John Carter,-2012,6.6,132 min
43,Fantastic Beasts and Where to Find Them,-2016,7.3,132 min
44,Fantastic Beasts: The Crimes of Grindelwald,-2018,6.5,134 min
45,Star Wars,-1977,8.6,121 min
46,Independence Day,-1996,7,145 min
47,Guardians of the Galaxy,-2014,8.1,121 min
48,Avatar,-2009,7.9,162 min
49,Shrek 2,-2004,7.3,93 min
50,Cruella,-2021,7.4,134 min
51,X: First Class,-2011,7.7,131 min
52,The Lord of the Rings: The Return of the King,-2003,9,201 min
53,Suicide Squad,-2016,5.9,123 min
54,Spider-Man: Far from Home,-2019,7.4,129 min
55,Stand by Me,-1986,8.1,89 min
56,Raya and the Last Dragon,-2021,7.3,107 min
57,Stardust,-2007,7.6,127 min
58,Black Panther,-2018,7.3,134 min
59,Charlie's Angels,-2019,4.9,118 min
60,Thor: Ragnarok,-2017,7.9,130 min
61,Justice League,-2017,6.1,120 min
62,Gladiator,-2000,8.5,155 min
63,Venom,-2018,6.7,112 min
64,Pirates of the Caribbean: The Curse of the Black Pearl,-2003,8.1,143 min
65,Star Wars: The Rise Of Skywalker,-2019,6.5,141 min
66,Luca,-2021,7.5,95 min
67,Captain Marvel,-2019,6.8,123 min
68,Shrek,-2001,7.9,90 min
69,Ant-Man,-2015,7.3,117 min
70,Jungle Cruise,-2021,6.6,127 min
71,Ready Player One,-2018,7.4,140 min
72,Divergent,-2014,6.7,139 min
73,The Princess Bride,-1987,8,98 min
74,Back to the Future,-1985,8.6,116 min
75,Star Wars: Episode I - The Phantom Menace,-1999,6.5,136 min
76,Harry Potter and the Goblet of Fire,-2005,7.7,157 min
77,War for the Planet of the Apes,-2017,7.4,140 min
78,The Amazing Spider-Man,-2012,7,136 min
79,Rogue One: A Star Wars Story,-2016,7.8,133 min
80,The Grand Budapest Hotel,-2014,8.1,99 min
81,Wonder Woman,-2017,7.4,141 min
82,The Tomorrow War,-2021,6.6,138 min
83,The Fifth Element,-1997,7.7,126 min
84,Moana,(I) (2016),7.6,107 min
85,Around the World in 80 Days,-1956,6.7,175 min
86,Beauty and the Beast,(I) (2017),7.1,129 min
87,Jumanji: Welcome to the Jungle,-2017,6.9,119 min
88,Iron Man,-2008,7.9,126 min
89,Jumanji: The Next Level,-2019,6.7,123 min
90,The Lego Batman Movie,-2017,7.3,104 min
91,The Lion King,-1994,8.5,88 min
92,Star Wars: Episode III - Revenge of the Sith,-2005,7.6,140 min
93,Dawn of the Planet of the Apes,-2014,7.6,130 min
94,Birds of Prey,-2020,6,109 min
95,Captain America: The First Avenger,-2011,6.9,124 min
96,The Mitchells vs the Machines,-2021,7.7,113 min
97,The Mummy,-1999,7.1,124 min
98,Doctor Strange,-2016,7.5,115 min
99,Spider-Man 3,-2007,6.3,139 min
100,Hook,-1991,6.8,142 min
101,Man of Steel,-2013,7.1,143 min
102,Harry Potter and the Prisoner of Azkaban,-2004,7.9,142 min
103,The Lord of the Rings: The Two Towers,-2002,8.8,179 min
104,Mission: Impossible - Fallout,-2018,7.7,147 min
105,Thor,-2011,7,115 min
106,It's a Mad Mad Mad Mad World,-1963,7.5,210 min
107,Prometheus,(I) (2012),7,124 min
108,The Avengers,-2012,8.1,143 min
109,X-Men: Apocalypse,-2016,6.9,144 min
110,The Lost City of Z,-2016,6.6,141 min
111,Transformers,-2007,7.1,144 min
112,Indiana Jones and the Raiders of the Lost Ark,-1981,8.4,115 min
113,Wonder Woman 1984,-2020,5.4,151 min
114,Pacific Rim,-2013,6.9,131 min
115,The Goonies,-1985,7.7,114 min
116,Cars,-2006,7.2,117 min
117,Ben-Hur,-1959,8.1,212 min
118,Star Wars: Episode VII - The Force Awakens,-2015,7.9,138 min
119,The Blue Lagoon,-1980,5.8,104 min
120,Harry Potter and the Deathly Hallows: Part 2,-2011,8.2,130 min
121,Spirited Away,-2001,8.6,125 min
122,The Amazing Spider-Man 2,-2014,6.6,142 min
123,Scooby-Doo,-2002,5.2,86 min
124,Aliens,-1986,8.4,137 min
125,Spider-Man 2,-2004,7.4,127 min
126,Dolittle,-2020,5.6,101 min
127,Harry Potter and the Deathly Hallows: Part 1,-2010,7.7,146 min
128,The Impossible,-2012,7.6,114 min
129,Ender's Game,-2013,6.6,114 min
130,Zootopia,-2016,8,108 min
131,The Hunger Games: Catching Fire,-2013,7.5,146 min
132,Escape Room: Tournament of Champions,-2021,5.7,88 min
133,Charlie and the Chocolate Factory,-2005,6.7,115 min
134,Casino Royale,-2006,8,144 min
135,Finch,-2021,6.9,115 min
136,Shazam!,-2019,7,132 min
137,Coco,(I) (2017),8.4,105 min
138,"The Good, the Bad and the Ugly",-1966,8.8,178 min
139,Aquaman,-2018,6.9,143 min
140,Frozen,(I) (2013),7.5,102 min
141,E.T. the Extra-Terrestrial,-1982,7.9,115 min
142,Mulan,-2020,5.7,115 min
143,Star Wars: Episode II - Attack of the Clones,-2002,6.6,142 min
144,Captain America: Civil War,-2016,7.8,147 min
145,The Magnificent Seven,-2016,6.9,132 min
146,The Revenant,-2015,8,156 min
147,Almost Famous,-2000,7.9,122 min
148,Mortal Kombat,-2021,6.1,110 min
149,Ratatouille,-2007,8.1,111 min
150,Sonic the Hedgehog,-2020,6.5,99 min
151,Star Wars: Episode V - The Empire Strikes Back,-1980,8.7,124 min
152,X-Men,-2000,7.4,104 min
153,Kingdom of Heaven,-2005,7.2,144 min
154,Alita: Battle Angel,-2019,7.3,122 min
155,Jurassic World,-2015,7,124 min
156,Guardians of the Galaxy Vol. 2,-2017,7.6,136 min
157,2012,(I) (2009),5.8,158 min
158,Avengers: Age of Ultron,-2015,7.3,141 min
159,The Incredibles,-2004,8.1,115 min
160,Robin Hood: Men in Tights,-1993,6.7,104 min
161,Ron's Gone Wrong,-2021,7.1,107 min
162,2001: A Space Odyssey,-1968,8.3,149 min
163,Solo: A Star Wars Story,-2018,6.9,135 min
164,Into the Wild,-2007,8.1,148 min
165,The Lion King,-2019,6.9,118 min
166,Soul,-2020,8.1,100 min
167,Inside Out,(I) (2015),8.2,95 min
168,Chaos Walking,-2021,5.7,109 min
169,High Life,-2018,5.8,113 min
170,Harry Potter and the Order of the Phoenix,-2007,7.5,138 min
171,Aladdin,-2019,6.9,128 min
172,Jaws,-1975,8.1,124 min
173,Cinderella,(I) (2015),6.9,105 min
174,Harry Potter and the Chamber of Secrets,-2002,7.4,161 min
175,X-Men: Dark Phoenix,-2019,5.7,113 min
176,Men in Black,-1997,7.3,98 min
177,The Ice Road,-2021,5.6,109 min
178,World War Z,-2013,7,116 min
179,Star Trek,-2009,8,127 min
180,Jumanji,-1995,7,104 min
181,Batman: Mask of the Phantasm,-1993,7.8,76 min
182,Star Wars: Episode VI - Return of the Jedi,-1983,8.3,131 min
183,Star Wars: Episode VIII - The Last Jedi,-2017,6.9,152 min
184,Batman,-1966,6.5,105 min
185,Pirates of the Caribbean: Dead Men Tell No Tales,-2017,6.6,129 min
186,The Hitchhiker's Guide to the Galaxy,-2005,6.7,109 min
187,Howl's Moving Castle,-2004,8.2,119 min
188,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",-2005,6.9,143 min
189,Ant-Man and the Wasp,-2018,7,118 min
