,name,year,rating,metascore,metascore/10,runtime,content,,Summary Statistics,,t-Test: Two-Sample Assuming Equal Variances,,,,Hypothesis Testing,,,,,,
1,The Adam Project,2022,6.8,55,5.5,106,PG-13,,,,,,,,,,,,,,
2,Turning Red,2022,7.1,83,8.3,100,PG,,Average year of release,,,Variable 1,Variable 2,,We are testing whether IMDb and Metacritic reviews are significantly,,,,,,
3,Spider-Man: No Way Home,2021,8.6,71,7.1,148,PG-13,,2009.513333,,Mean,7.324666667,6.655333333,,different from each other for the same movies from the top 150 list,,,,,,
4,The King's Man,2021,6.3,44,4.4,131,R,,Average IMDb rating,,Variance,0.69247472,2.249736465,,"Assumption: Because n > 30, we can assume equal variances",,,,,,
5,Uncharted,2022,6.7,45,4.5,116,PG-13,,7.324666667,,Observations,150,150,,,,,,,,
6,Free Guy,2021,7.2,62,6.2,115,PG-13,,Average Metacritic rating/10,,Pooled Variance,1.471105593,,,Null Hypothesis H0: The population means are the same ,,,,,,
7,Dune,2021,8.1,74,7.4,155,PG-13,,6.655333333,,Hypothesized Mean Difference,0,,,Alternative Hypothesis HA: The population means are not the same,,,,,,
8,Sing 2,2021,7.5,49,4.9,110,PG,,Average Runtime (in minutes),,df,298,,,,,,,,,
9,Eternals,2021,6.4,52,5.2,156,PG-13,,131.3066667,,t Stat,4.779155508,,,"Let us assume that Metacritic ratings are IMDb rating/10, so 9 IMDb = 90",,,,,,
10,Ghostbusters: Afterlife,2021,7.2,45,4.5,124,PG-13,,Number of G Rated Movies,,P(T<=t) one-tail,1.38E-06,,,"Metacritic. Since IMDb mean > Metacritic mean, use a one-tailed t-test",,,,,,
11,Batman,1989,7.5,69,6.9,126,PG-13,,6,,t Critical one-tail,1.649982976,,,,,,,,,
12,No Time to Die,2021,7.3,68,6.8,163,PG-13,,Number of PG Rated Movies,,P(T<=t) two-tail,2.77E-06,,,Conclusion: Because our t-statistic value is larger than our one-tailed,,,,,,
13,The Suicide Squad,2021,7.2,72,7.2,132,R,,30,,t Critical two-tail,1.967956506,,,"t-critical value and our p-value is smaller than our alpha level of 0.05, ",,,,,,
14,Batman Forever,1995,5.4,51,5.1,121,PG-13,,Number of PG-13 Rated Movies,,,,,,We can reject the null hypothesis and conclude that IMDb and Metacritic,,,,,,
15,Avengers: Endgame,2019,8.4,78,7.8,181,PG-13,,92,,,,,,"rate the same movies differently. Specifically, IMDb rates higher on average",,,,,,
16,Kingsman: The Secret Service,2014,7.7,60,6,129,R,,Number of R Rated Movies,,,,,,,,,,,,
17,Zack Snyder's Justice League,2021,8.1,54,5.4,242,R,,22,,,,,,,,,,,,
18,Interstellar,2014,8.7,74,7.4,169,PG-13,,,,,,,,,,,,,,
19,The Green Knight,2021,6.6,85,8.5,130,R,,,,,,,,,,,,,,
20,Shang-Chi and the Legend of the Ten Rings,2021,7.5,71,7.1,132,PG-13,,,,,,,,,,,,,,
21,Inception,2010,8.8,74,7.4,148,PG-13,,,,,,,,,,,,,,
22,Venom: Let There Be Carnage,2021,6,49,4.9,97,PG-13,,,,,,,,,,,,,,
23,Harry Potter and the Sorcerer's Stone,2001,7.6,65,6.5,152,PG,,,,,,,,,,,,,,
24,Batman v Superman: Dawn of Justice,2016,6.5,44,4.4,152,PG-13,,,,,,,,,,,,,,
25,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,92,9.2,178,PG-13,,,,,,,,,,,,,,
26,Mad Max: Fury Road,2015,8.1,90,9,120,R,,,,,,,,,,,,,,
27,Spider-Man: Homecoming,2017,7.4,73,7.3,133,PG-13,,,,,,,,,,,,,,
28,Inglourious Basterds,2009,8.3,69,6.9,153,R,,,,,,,,,,,,,,
29,Spider-Man,2002,7.4,73,7.3,121,PG-13,,,,,,,,,,,,,,
30,Avengers: Infinity War,2018,8.5,68,6.8,149,PG-13,,,,,,,,,,,,,,
31,Kingsman: The Golden Circle,2017,6.7,44,4.4,141,R,,,,,,,,,,,,,,
32,Black Widow,2021,6.7,67,6.7,134,PG-13,,,,,,,,,,,,,,
33,Dune,1984,6.3,41,4.1,137,PG-13,,,,,,,,,,,,,,
34,Spider-Man: Into the Spider-Verse,2018,8.4,87,8.7,117,PG,,,,,,,,,,,,,,
